id,w,v
2142,86,10
2143,69,78
2144,43,33
2145,38,70
2146,34,20
2147,3,56
2148,44,76
2149,76,22
2150,14,0
2151,77,60
2152,32,72
2153,27,12
2154,31,95
2155,51,83
2156,9,51
2157,49,54
2158,23,69
2159,58,30
2160,47,96
2161,81,32
2162,31,85
2163,74,7
2164,18,99
2165,24,43
2166,14,52
2167,42,90
2168,42,49
2169,52,93
2170,0,3
2171,55,10
2172,1,74
2173,4,95
2174,0,60
2175,76,78
2176,24,25
2177,22,30
2178,18,38
2179,48,28
2180,83,75
2181,37,99
2182,18,38
2183,39,1
2184,5,97
2185,98,79
2186,27,42
2187,33,47
2188,61,13
2189,55,28
2190,1,98
2191,46,65
2192,3,9
2193,72,70
2194,44,70
2195,13,31
2196,15,68
2197,33,94
2198,66,17
2199,76,99
2200,32,42
2201,23,26
2202,37,1
2203,10,85
2204,27,52
2205,86,87
2206,22,92
2207,1,24
2208,78,10
2209,0,58
2210,39,69
2211,97,83
2212,86,80
2213,92,96
2214,82,45
2215,42,9
2216,37,90
2217,4,26
2218,32,62
2219,86,65
2220,72,20
2221,68,77
2222,11,12
2223,45,39
2224,43,42
2225,97,71
2226,17,83
2227,34,1
2228,36,65
2229,83,80
2230,70,42
2231,93,75
2232,95,88
2233,47,42
2234,2,75
2235,32,84
2236,37,56
2237,2,10
2238,64,25
2239,89,82
2240,56,61
2241,80,25
2242,40,57
2243,71,25
2244,1,50
2245,66,92
2246,50,53
2247,29,61
2248,14,1
2249,48,40
2250,49,12
2251,97,87
2252,25,44
2253,39,30
2254,58,55
2255,53,9
2256,43,29
2257,88,35
2258,86,26
2259,54,79
2260,21,75
2261,56,10
2262,59,53
2263,89,50
2264,3,99
2265,58,22
2266,27,7
2267,32,13
2268,71,49
2269,28,52
2270,19,59
2271,31,63
2272,95,28
2273,87,91
2274,81,90
2275,44,7
2276,64,29
2277,30,51
2278,79,42
2279,53,80
2280,0,32
2281,86,24
2282,2,58
2283,2,13
2284,13,10
2285,5,62
2286,92,20
2287,56,77
2288,99,81
2289,30,47
2290,35,78
2291,4,8
2292,98,71
2293,51,2
2294,80,21
2295,10,9
2296,46,64
2297,0,92
2298,60,57
2299,6,62
2300,18,79
2301,29,14
2302,2,14
2303,71,99
2304,13,21
2305,63,64
2306,39,44
2307,6,99
2308,92,78
2309,8,21
2310,44,77
2311,88,78
2312,77,34
2313,23,69
2314,64,90
2315,89,89
2316,86,89
2317,16,33
2318,55,50
2319,22,1
2320,56,27
2321,90,38
2322,0,75
2323,0,85
2324,44,68
2325,48,66
2326,69,34
2327,22,19
2328,98,94
2329,3,34
2330,98,71
2331,99,74
2332,81,46
2333,44,47
2334,41,59
2335,1,71
2336,16,91
2337,2,69
2338,40,44
2339,35,87
2340,20,75
2341,40,34
2342,1,5
2343,20,47
2344,43,72
2345,45,8
2346,58,43
2347,27,17
2348,70,5
2349,10,87
2350,99,37
2351,69,52
2352,9,81
2353,16,92
2354,66,97
2355,74,52
2356,82,39
2357,12,57
2358,6,33
2359,36,32
2360,82,13
2361,45,43
2362,56,11
2363,37,38
2364,16,31
2365,37,54
2366,80,77
2367,98,74
2368,87,10
2369,76,81
2370,62,65
2371,19,75
2372,96,14
2373,83,39
2374,95,22
2375,92,96
2376,13,32
2377,90,31
2378,20,6
2379,3,44
2380,48,66
2381,71,53
2382,58,94
2383,31,51
2384,66,5
2385,45,10
2386,0,45
2387,42,39
2388,88,34
2389,25,16
2390,28,73
2391,84,16
2392,38,29
2393,57,31
2394,30,56
2395,35,60
2396,95,65
2397,16,22
2398,84,36
2399,20,88
2400,30,35
2401,79,92
2402,64,95
2403,64,81
2404,88,7
2405,8,31
2406,80,45
2407,21,52
2408,88,12
2409,13,41
2410,10,81
2411,53,2
2412,49,28
2413,1,6
2414,58,43
2415,27,5
2416,91,47
2417,91,7
2418,23,70
2419,5,57
2420,23,55
2421,85,30
2422,81,26
2423,15,19
2424,58,2
2425,51,27
2426,68,66
2427,86,66
2428,38,32
2429,78,16
2430,96,88
2431,13,77
2432,98,1
2433,85,42
2434,91,79
2435,64,75
2436,17,80
2437,7,27
2438,34,0
2439,17,55
2440,14,99
2441,19,26
2442,64,54
2443,65,8
2444,19,64
2445,22,6
2446,98,98
2447,89,33
2448,61,33
2449,88,51
2450,1,68
2451,78,66
2452,93,57
2453,8,6
2454,0,80
2455,55,46
2456,15,9
2457,56,78
2458,3,53
2459,67,63
2460,18,61
2461,97,58
2462,12,2
2463,1,22
2464,26,96
2465,53,24
2466,2,72
2467,58,12
2468,45,11
2469,84,89
2470,81,5
2471,30,1
2472,57,90
2473,26,90
2474,7,64
2475,8,93
2476,89,65
2477,65,97
2478,2,51
2479,37,10
2480,3,81
2481,88,90
2482,20,23
2483,25,47
2484,60,41
2485,56,35
2486,34,76
2487,54,80
2488,32,73
2489,18,12
2490,13,82
2491,43,8
2492,22,34
2493,3,15
2494,12,61
2495,94,17
2496,2,92
2497,92,13
2498,4,82
2499,71,60
2500,26,27
2501,32,35
2502,27,55
2503,39,31
2504,0,71
2505,76,22
2506,10,31
2507,69,73
2508,71,4
2509,86,8
2510,39,76
2511,40,21
2512,29,50
2513,21,61
2514,83,36
2515,31,59
2516,0,25
2517,79,54
2518,48,68
2519,75,53
2520,17,38
2521,67,41
2522,65,96
2523,57,39
2524,22,85
2525,40,39
2526,57,69
2527,18,13
2528,94,46
2529,92,1
2530,64,1
2531,9,72
2532,96,40
2533,21,60
2534,66,67
2535,93,4
2536,8,9
2537,20,57
2538,29,92
2539,84,80
2540,29,3
2541,85,46
2542,96,3
2543,81,8
2544,68,20
2545,41,42
2546,6,22
2547,58,14
2548,35,15
2549,8,21
2550,95,30
2551,99,86
2552,59,61
2553,83,62
2554,4,91
2555,37,50
2556,7,61
2557,66,67
2558,26,74
2559,84,71
2560,22,92
2561,63,60
2562,19,70
2563,66,18
2564,1,43
2565,78,12
2566,37,67
2567,2,96
2568,95,20
2569,31,83
2570,5,98
2571,41,63
2572,76,4
2573,83,75
2574,77,7
2575,60,90
2576,62,23
2577,79,3
2578,26,13
2579,60,40
2580,43,26
2581,91,43
2582,6,50
2583,89,78
2584,33,85
2585,60,54
2586,64,12
2587,96,81
2588,16,27
2589,27,81
2590,83,49
2591,17,4
2592,55,21
2593,64,19
2594,99,79
2595,13,52
2596,11,14
2597,4,24
2598,0,73
2599,52,99
2600,27,72
2601,95,5
2602,92,89
2603,9,88
2604,75,30
2605,47,35
2606,2,80
2607,98,7
2608,73,4
2609,19,28
2610,94,93
2611,1,82
2612,51,99
2613,60,40
2614,98,66
2615,25,81
2616,95,70
2617,80,45
2618,55,85
2619,61,54
2620,1,29
2621,82,19
2622,37,41
2623,59,77
2624,80,2
2625,3,17
2626,47,70
2627,75,9
2628,9,15
2629,61,43
2630,27,49
2631,50,58
2632,19,82
2633,50,77
2634,64,17
2635,75,37
2636,6,53
2637,97,23
2638,75,67
2639,93,47
2640,12,58
2641,29,47
2642,78,27
2643,95,35
2644,99,80
2645,96,20
2646,1,36
2647,39,27
2648,85,88
2649,2,47
2650,12,60
2651,12,79
2652,34,37
2653,43,1
2654,86,54
2655,4,69
2656,34,24
2657,5,14
2658,55,35
2659,26,78
2660,64,89
2661,51,65
2662,79,73
2663,17,32
2664,72,49
2665,19,1
2666,9,87
2667,75,42
2668,65,98
2669,1,13
2670,85,26
2671,99,83
2672,8,33
2673,58,14
2674,30,98
2675,76,43
2676,47,11
2677,98,72
2678,69,63
2679,43,36
2680,27,67
2681,42,25
2682,80,97
2683,41,11
2684,39,62
2685,39,25
2686,40,72
2687,95,45
2688,67,60
2689,45,83
2690,35,80
2691,24,58
2692,58,97
2693,32,74
2694,63,43
2695,91,61
2696,64,93
2697,39,69
2698,33,18
2699,29,85
2700,33,4
2701,80,36
2702,67,3
2703,15,34
2704,71,58
2705,41,92
2706,87,6
2707,27,34
2708,72,75
2709,78,3
2710,33,39
2711,2,9
2712,62,84
2713,29,89
2714,25,6
2715,97,90
2716,53,5
2717,77,13
2718,30,96
2719,24,83
2720,17,61
2721,15,82
2722,80,63
2723,44,5
2724,61,50
2725,80,67
2726,3,74
2727,62,73
2728,97,46
2729,28,47
2730,94,46
2731,42,0
2732,73,27
2733,1,97
2734,77,22
2735,94,8
2736,95,79
2737,26,33
2738,63,67
2739,12,21
2740,65,41
2741,5,69
2742,10,1
2743,63,29
2744,13,94
2745,41,70
2746,93,17
2747,38,8
2748,63,45
2749,85,32
2750,69,13
2751,36,81
2752,3,68
2753,91,89
2754,33,59
2755,42,55
2756,88,76
2757,13,90
2758,8,30
2759,37,77
2760,18,25
2761,28,57
2762,95,59
2763,65,66
2764,97,43
2765,16,62
2766,16,93
2767,2,26
2768,27,94
2769,82,70
2770,32,46
2771,15,31
2772,34,95
2773,90,42
2774,98,4
2775,22,64
2776,20,41
2777,8,45
2778,50,9
2779,78,74
2780,9,49
2781,75,34
2782,15,55
2783,22,86
2784,93,67
2785,98,59
2786,54,92
2787,59,92
2788,7,51
2789,41,9
2790,0,91
2791,69,32
2792,59,97
2793,90,38
2794,60,62
2795,70,51
2796,69,72
2797,29,37
2798,7,78
2799,93,58
2800,92,46
2801,91,17
2802,42,94
2803,69,40
2804,8,7
2805,33,79
2806,15,88
2807,28,67
2808,8,86
2809,10,11
2810,76,10
2811,45,75
2812,12,32
2813,8,56
2814,50,74
2815,58,94
2816,44,32
2817,43,37
2818,19,71
2819,54,89
2820,3,71
2821,19,40
2822,57,22
2823,64,14
2824,69,14
2825,55,10
2826,62,74
2827,10,4
2828,70,91
2829,25,84
2830,86,84
2831,99,62
2832,69,68
2833,87,12
2834,95,43
2835,89,12
2836,25,96
2837,82,19
2838,60,9
2839,76,69
2840,15,0
2841,41,81
2842,1,32
2843,81,19
2844,43,91
2845,58,48
2846,69,7
2847,72,86
2848,54,14
2849,86,77
2850,57,19
2851,31,65
2852,75,13
2853,88,45
2854,71,2
2855,76,15
2856,47,8
2857,73,77
2858,23,31
2859,19,56
2860,63,87
2861,39,47
2862,73,39
2863,6,41
2864,85,71
2865,22,35
2866,45,41
2867,7,92
2868,15,30
2869,1,18
2870,17,40
2871,14,90
2872,67,79
2873,83,50
2874,7,4
2875,20,98
2876,58,76
2877,23,80
2878,85,37
2879,5,25
2880,46,53
2881,35,57
2882,11,12
2883,18,88
2884,75,4
2885,70,74
2886,12,63
2887,80,80
2888,41,64
2889,86,92
2890,49,21
2891,87,23
2892,92,69
2893,91,52
2894,73,20
2895,48,52
2896,19,19
2897,58,20
2898,91,57
2899,40,7
2900,17,98
2901,39,17
2902,51,36
2903,6,30
2904,4,95
2905,63,31
2906,25,5
2907,69,53
2908,93,18
2909,79,71
2910,24,32
2911,51,91
2912,21,70
2913,15,68
2914,5,38
2915,88,47
2916,3,88
2917,39,90
2918,10,85
2919,29,0
2920,83,49
2921,13,62
2922,96,81
2923,49,37
2924,89,91
2925,82,45
2926,72,17
2927,76,98
2928,32,24
2929,17,17
2930,53,38
2931,18,1
2932,60,99
2933,27,70
2934,13,1
2935,64,5
2936,80,77
2937,61,18
2938,36,95
2939,24,39
2940,72,65
2941,52,22
2942,68,44
2943,20,48
2944,32,4
2945,68,19
2946,52,73
2947,64,8
2948,12,94
2949,50,73
2950,68,65
2951,97,83
2952,22,79
2953,59,71
2954,70,29
2955,26,46
2956,35,63
2957,98,17
2958,76,44
2959,58,2
2960,34,82
2961,98,93
2962,0,52
2963,27,2
2964,51,53
2965,13,51
2966,67,59
2967,21,20
2968,73,31
2969,42,93
2970,70,55
2971,98,32
2972,32,49
2973,20,52
2974,44,10
2975,4,9
2976,48,75
2977,20,32
2978,10,10
2979,22,61
2980,32,33
2981,44,92
2982,14,86
2983,70,57
2984,57,22
2985,10,92
2986,93,39
2987,20,19
2988,57,72
2989,9,13
2990,37,93
2991,46,3
2992,20,74
2993,49,64
2994,15,80
2995,31,91
2996,13,64
2997,62,83
2998,65,14
2999,56,90
3000,70,51
3001,17,15
3002,9,11
3003,18,20
3004,28,87
3005,78,29
3006,65,77
3007,45,4
3008,24,87
3009,47,85
3010,25,88
3011,50,42
3012,18,96
3013,43,90
3014,56,76
3015,91,99
3016,36,95
3017,72,11
3018,72,63
3019,85,35
3020,3,26
3021,66,59
3022,25,6
3023,41,22
3024,2,63
3025,38,63
3026,2,88
3027,12,58
3028,61,17
3029,88,7
3030,40,59
3031,65,83
3032,79,45
3033,14,32
3034,16,77
3035,96,80
3036,32,74
3037,34,5
3038,93,17
3039,5,48
3040,60,29
3041,3,69
3042,20,31
3043,25,69
3044,67,30
3045,89,67
3046,51,16
3047,45,32
3048,23,33
3049,32,34
3050,95,3
3051,92,95
3052,69,50
3053,38,1
3054,62,77
3055,26,97
3056,72,93
3057,82,41
3058,77,94
3059,4,54
3060,84,15
3061,57,41
3062,7,29
3063,65,84
3064,56,71
3065,13,41
3066,8,49
3067,60,67
3068,65,26
3069,53,84
3070,6,46
3071,59,2
3072,77,40
3073,2,25
3074,76,16
3075,70,12
3076,64,96
3077,69,71
3078,6,4
3079,38,0
3080,35,84
3081,95,81
3082,3,81
3083,26,45
3084,4,15
3085,12,30
3086,51,81
3087,5,51
3088,79,97
3089,16,98
3090,77,29
3091,54,0
3092,24,10
3093,85,63
3094,66,81
3095,83,92
3096,78,39
3097,78,85
3098,11,69
3099,22,89
3100,66,75
3101,74,83
3102,67,33
3103,67,15
3104,78,72
3105,99,43
3106,52,98
3107,25,58
3108,78,4
3109,92,67
3110,81,22
3111,60,95
3112,71,16
3113,15,22
3114,82,68
3115,57,19
3116,35,45
3117,55,91
3118,80,14
3119,26,88
3120,46,17
3121,88,82
3122,21,78
3123,62,45
3124,8,70
3125,66,61
3126,33,21
3127,35,27
3128,32,40
3129,54,28
3130,11,67
3131,11,70
3132,23,70
3133,61,37
3134,89,97
3135,70,16
3136,15,97
3137,39,1
3138,88,53
3139,82,11
3140,92,81
3141,12,33
3142,17,65
3143,50,94
3144,79,14
3145,30,11
3146,42,49
3147,39,0
3148,42,80
3149,54,10
3150,18,17
3151,94,64
3152,53,87
3153,99,61
3154,41,3
3155,44,18
3156,44,84
3157,86,73
3158,77,3
3159,17,89
3160,26,18
3161,4,14
3162,3,90
3163,38,51
3164,72,10
3165,22,66
3166,67,70
3167,31,52
3168,92,72
3169,76,22
3170,48,37
3171,50,55
3172,75,39
3173,3,71
3174,4,14
3175,61,56
3176,23,77
3177,27,87
3178,71,94
3179,44,52
3180,89,76
3181,10,33
3182,19,16
3183,24,84
3184,28,50
3185,99,52
3186,25,90
3187,1,94
3188,92,19
3189,40,57
3190,76,2
3191,9,62
3192,85,30
3193,8,76
3194,36,30
3195,31,87
3196,37,75
3197,54,39
3198,44,40
3199,22,20
3200,26,99
3201,56,83
3202,40,27
3203,15,95
3204,41,39
3205,56,61
3206,84,68
3207,67,57
3208,88,57
3209,79,2
3210,39,25
3211,54,92
3212,57,42
3213,77,51
3214,89,89
3215,84,3
3216,48,39
3217,22,54
3218,73,38
3219,80,70
3220,61,27
3221,76,52
3222,69,6
3223,76,47
3224,80,18
3225,95,89
3226,72,35
3227,3,22
3228,23,98
3229,31,7
3230,87,8
3231,39,66
3232,55,0
3233,2,6
3234,25,45
3235,23,50
3236,60,23
3237,44,65
3238,17,6
3239,22,89
3240,37,86
3241,37,28
3242,72,45
3243,43,18
3244,41,33
3245,90,77
3246,48,64
3247,27,93
3248,76,96
3249,19,51
3250,6,96
3251,13,88
3252,42,12
3253,95,46
3254,1,20
3255,97,95
3256,3,76
3257,76,17
3258,93,34
3259,81,77
3260,17,25
3261,83,38
3262,37,57
3263,59,88
3264,33,15
3265,90,1
3266,46,33
3267,62,56
3268,47,21
3269,21,1
3270,41,59
3271,1,97
3272,18,49
3273,40,86
3274,41,74
3275,30,13
3276,89,89
3277,33,1
3278,98,47
3279,19,43
3280,20,55
3281,55,76
3282,23,30
3283,85,78
3284,79,59
3285,75,47
3286,73,99
3287,4,42
3288,26,12
3289,83,72
3290,98,2
3291,77,94
3292,91,90
3293,86,52
3294,92,23
3295,5,33
3296,60,62
3297,45,27
3298,31,51
3299,6,34
3300,6,77
3301,97,32
3302,82,8
3303,89,4
3304,31,13
3305,79,79
3306,34,49
3307,83,42
3308,29,35
3309,10,37
3310,93,0
3311,14,23
3312,76,60
3313,81,12
3314,45,22
3315,27,19
3316,65,71
3317,50,44
3318,2,51
3319,10,37
3320,41,16
3321,60,51
3322,0,71
3323,51,63
3324,34,8
3325,34,49
3326,62,90
3327,89,29
3328,90,47
3329,42,57
3330,88,69
3331,81,87
3332,86,17
3333,59,38
3334,83,51
3335,28,86
3336,93,62
3337,19,63
3338,59,57
3339,58,86
3340,42,42
3341,74,44
3342,72,66
3343,44,23
3344,57,73
3345,65,27
3346,70,7
3347,87,72
3348,38,68
3349,67,76
3350,87,96
3351,78,15
3352,21,34
3353,71,65
3354,29,86
3355,52,91
3356,17,44
3357,5,50
3358,46,95
3359,35,25
3360,61,93
3361,73,17
3362,78,81
3363,94,98
3364,54,87
3365,47,20
3366,32,67
3367,36,71
3368,98,28
3369,54,7
3370,5,34
3371,24,46
3372,91,2
3373,92,99
3374,87,5
3375,27,14
3376,54,76
3377,87,1
3378,52,66
3379,65,79
3380,96,50
3381,91,67
3382,13,75
3383,56,60
3384,57,21
3385,61,78
3386,67,74
3387,70,3
3388,60,12
3389,58,90
3390,85,21
3391,56,84
3392,56,69
3393,14,49
3394,12,62
3395,34,42
3396,62,46
3397,18,89
3398,73,88
3399,24,68
3400,33,64
3401,82,65
3402,11,68
3403,0,69
3404,88,87
3405,84,28
3406,43,25
3407,65,85
3408,47,96
3409,51,71
3410,94,97
3411,77,38
3412,78,6
3413,37,89
3414,42,74
3415,40,72
3416,89,21
3417,61,66
3418,45,46
3419,55,5
3420,3,78
3421,73,21
3422,13,36
3423,74,86
3424,79,29
3425,22,77
3426,82,0
3427,43,68
3428,42,74
3429,47,45
3430,31,94
3431,9,68
3432,59,69
3433,30,43
3434,65,96
3435,90,23
3436,65,54
3437,18,77
3438,27,23
3439,77,75
3440,65,81
3441,6,51
3442,12,86
3443,56,24
3444,45,71
3445,37,99
3446,28,35
3447,78,71
3448,6,27
3449,48,30
3450,12,1
3451,99,55
3452,34,89
3453,75,44
3454,5,92
3455,35,27
3456,83,47
3457,40,43
3458,33,72
3459,79,82
3460,47,95
3461,54,68
3462,45,50
3463,33,15
3464,93,27
3465,99,61
3466,8,5
3467,14,21
3468,35,9
3469,15,5
3470,43,38
3471,95,71
3472,82,27
3473,19,75
3474,43,65
3475,85,69
3476,72,29
3477,3,68
3478,70,14
3479,67,90
3480,50,45
3481,20,76
3482,62,48
3483,80,60
3484,58,46
3485,75,45
3486,57,90
3487,99,88
3488,39,42
3489,60,73
3490,23,69
3491,49,35
3492,76,90
3493,79,23
3494,75,35
3495,82,1
3496,36,38
3497,43,21
3498,63,31
3499,77,98
3500,61,79
3501,42,89
3502,11,66
3503,71,80
3504,28,15
3505,38,95
3506,38,16
3507,28,14
3508,83,16
3509,3,88
3510,49,81
3511,54,80
3512,43,37
3513,55,38
3514,13,49
3515,28,77
3516,62,96
3517,33,26
3518,49,17
3519,40,99
3520,63,86
3521,22,5
3522,98,31
3523,78,63
3524,81,18
3525,15,24
3526,94,81
3527,98,71
3528,99,87
3529,69,13
3530,34,94
3531,30,66
3532,87,65
3533,19,87
3534,67,16
3535,42,55
3536,82,72
3537,67,73
3538,65,37
3539,2,90
3540,22,21
3541,50,64
3542,31,26
3543,3,41
3544,29,11
3545,84,28
3546,60,51
3547,54,81
3548,86,34
3549,61,39
3550,10,5
3551,52,7
3552,27,68
3553,87,2
3554,49,50
3555,72,55
3556,94,91
3557,33,38
3558,28,69
3559,1,80
3560,19,41
3561,29,40
3562,77,99
3563,77,93
3564,13,28
3565,15,81
3566,68,15
3567,23,70
3568,37,46
3569,87,31
3570,76,46
3571,5,73
3572,81,10
3573,43,50
3574,2,88
3575,95,26
3576,26,89
3577,51,40
3578,52,14
3579,18,27
3580,51,15
3581,20,86
3582,51,74
3583,78,9
3584,84,91
3585,29,69
3586,21,98
3587,89,45
3588,67,2
3589,21,10
3590,19,93
3591,29,40
3592,6,48
3593,27,90
3594,32,65
3595,38,28
3596,84,41
3597,80,94
3598,81,71
3599,50,44
3600,3,66
3601,65,32
3602,8,42
3603,87,91
3604,37,38
3605,30,56
3606,93,56
3607,25,2
3608,12,85
3609,21,20
3610,51,50
3611,69,58
3612,28,32
3613,52,85
3614,68,57
3615,10,50
3616,68,11
3617,6,0
3618,40,4
3619,4,19
3620,69,30
3621,55,5
3622,23,39
3623,40,11
3624,62,12
3625,20,99
3626,56,64
3627,50,1
3628,31,59
3629,52,39
3630,62,12
3631,39,85
3632,10,78
3633,85,60
3634,75,74
3635,15,57
3636,81,38
3637,8,37
3638,88,68
3639,41,53
3640,42,54
3641,4,31
3642,75,56
3643,98,63
3644,5,3
3645,19,7
3646,73,9
3647,25,63
3648,33,32
3649,62,34
3650,16,71
3651,73,16
3652,15,67
3653,24,72
3654,82,66
3655,69,34
3656,34,14
3657,11,56
3658,20,80
3659,0,98
3660,98,22
3661,50,74
3662,16,14
3663,95,81
3664,69,12
3665,48,48
3666,83,76
3667,70,98
3668,21,31
3669,60,98
3670,52,82
3671,75,79
3672,56,40
3673,98,86
3674,19,43
3675,85,84
3676,54,91
3677,65,0
3678,95,94
3679,50,59
3680,83,75
3681,19,31
3682,77,27
3683,5,21
3684,42,25
3685,67,74
3686,22,59
3687,9,68
3688,23,57
3689,20,32
3690,48,86
3691,56,15
3692,17,55
3693,75,45
3694,94,70
3695,33,69
3696,73,15
3697,36,14
3698,16,63
3699,51,26
3700,85,86
3701,50,29
3702,36,69
3703,71,32
3704,46,68
3705,15,79
3706,32,39
3707,58,76
3708,63,12
3709,16,37
3710,13,32
3711,93,3
3712,36,79
3713,87,99
3714,65,77
3715,23,37
3716,96,32
3717,8,28
3718,50,44
3719,62,25
3720,7,89
3721,51,79
3722,45,0
3723,74,34
3724,1,65
3725,13,43
3726,68,91
3727,21,72
3728,1,16
3729,83,56
3730,40,67
3731,74,1
3732,14,90
3733,26,4
3734,72,17
3735,62,81
3736,85,12
3737,85,24
3738,76,25
3739,29,47
3740,37,30
3741,50,0
3742,23,92
3743,14,41
3744,62,96
3745,93,63
3746,74,48
3747,35,84
3748,15,33
3749,19,96
3750,90,39
3751,86,61
3752,88,78
3753,29,38
3754,66,29
3755,55,89
3756,13,72
3757,34,80
3758,58,69
3759,12,94
3760,80,62
3761,41,94
3762,77,4
3763,39,36
3764,35,44
3765,20,11
3766,76,99
3767,27,41
3768,28,34
3769,86,16
3770,1,92
3771,59,89
3772,99,30
3773,62,27
3774,69,57
3775,58,3
3776,80,34
3777,10,30
3778,47,12
3779,97,98
3780,14,87
3781,57,60
3782,50,8
3783,84,53
3784,81,9
3785,21,59
3786,19,22
3787,54,95
3788,33,20
3789,89,85
3790,1,81
3791,4,92
3792,89,81
3793,40,90
3794,26,43
3795,94,26
3796,56,34
3797,13,56
3798,49,6
3799,98,48
3800,19,74
3801,49,35
3802,70,56
3803,27,75
3804,17,7
3805,28,2
3806,48,31
3807,48,4
3808,94,46
3809,96,60
3810,44,29
3811,54,31
3812,29,6
3813,29,51
3814,23,61
3815,81,96
3816,83,81
3817,83,48
3818,24,52
3819,7,16
3820,57,30
3821,15,97
3822,51,54
3823,19,36
3824,53,53
3825,34,30
3826,7,31
3827,40,47
3828,70,30
3829,36,97
3830,74,74
3831,88,19
3832,79,90
3833,86,42
3834,64,9
3835,62,28
3836,84,77
3837,9,27
3838,71,62
3839,28,72
3840,89,2
3841,29,93
3842,9,72
3843,93,88
3844,77,51
3845,91,17
3846,16,0
3847,79,62
3848,44,10
3849,51,60
3850,89,40
3851,35,37
3852,98,76
3853,63,80
3854,46,96
3855,88,16
3856,54,74
3857,86,81
3858,89,68
3859,24,27
3860,83,51
3861,5,5
3862,83,59
3863,92,89
3864,15,60
3865,26,84
3866,81,31
3867,74,56
3868,67,4
3869,16,20
3870,2,55
3871,58,56
3872,68,60
3873,32,90
3874,3,31
3875,22,88
3876,57,64
3877,83,23
3878,53,36
3879,36,47
3880,62,0
3881,82,32
3882,3,21
3883,72,21
3884,87,49
3885,68,10
3886,74,35
3887,32,35
3888,83,93
3889,16,91
3890,55,2
3891,46,47
3892,93,66
3893,85,4
3894,92,70
3895,94,74
3896,19,7
3897,15,57
3898,35,51
3899,25,83
3900,90,73
3901,9,52
3902,17,60
3903,14,19
3904,83,88
3905,13,90
3906,1,16
3907,65,67
3908,21,75
3909,94,84
3910,11,33
3911,55,92
3912,52,32
3913,79,83
3914,5,84
3915,40,52
3916,4,54
3917,17,80
3918,69,47
3919,50,18
3920,52,37
3921,56,61
3922,9,2
3923,55,34
3924,72,93
3925,54,66
3926,70,25
3927,54,10
3928,63,7
3929,83,5
3930,57,80
3931,62,18
3932,57,79
3933,64,39
3934,81,12
3935,57,5
3936,38,76
3937,33,85
3938,63,51
3939,99,14
3940,37,28
3941,99,96
3942,44,39
3943,61,24
3944,46,41
3945,30,53
3946,51,63
3947,42,94
3948,77,48
3949,79,69
3950,21,93
3951,94,68
3952,89,86
3953,91,42
3954,67,15
3955,17,64
3956,46,70
3957,14,16
3958,63,98
3959,88,81
3960,3,53
3961,10,93
3962,95,14
3963,77,48
3964,25,6
3965,78,18
3966,5,28
3967,94,14
3968,85,94
3969,99,83
3970,1,42
3971,11,27
3972,22,17
3973,18,75
3974,98,87
3975,24,51
3976,61,43
3977,71,94
3978,14,80
3979,99,31
3980,55,72
3981,72,1
3982,65,48
3983,32,73
3984,39,5
3985,52,98
3986,66,41
3987,82,33
3988,25,48
3989,13,57
3990,73,81
3991,61,88
3992,16,20
3993,22,64
3994,46,66
3995,83,49
3996,28,50
3997,93,39
3998,17,78
3999,54,59
4000,61,97
4001,3,77
4002,40,83
4003,77,96
4004,43,52
4005,27,17
4006,61,20
4007,66,33
4008,28,6
4009,27,10
4010,48,38
4011,45,60
4012,33,49
4013,99,88
4014,57,72
4015,48,73
4016,97,36
4017,91,81
4018,56,96
4019,82,54
4020,0,64
4021,13,81
4022,16,8
4023,84,14
4024,57,0
4025,69,82
4026,57,62
4027,74,77
4028,24,28
4029,3,8
4030,97,12
4031,43,3
4032,85,58
4033,85,42
4034,59,45
4035,21,25
4036,84,28
4037,47,39
4038,43,38
4039,94,79
4040,27,47
4041,65,58
4042,27,26
4043,2,32
4044,91,19
4045,12,59
4046,66,42
4047,43,88
4048,71,13
4049,9,91
4050,8,81
4051,31,85
4052,15,68
4053,64,92
4054,58,37
4055,21,95
4056,98,69
4057,46,59
4058,28,16
4059,64,41
4060,85,71
4061,20,40
4062,6,33
4063,91,58
4064,94,95
4065,74,34
4066,14,88
4067,52,96
4068,45,21
4069,53,4
4070,66,89
4071,29,16
4072,26,33
4073,41,73
4074,75,78
4075,73,44
4076,25,39
4077,79,21
4078,47,85
4079,4,91
4080,93,79
4081,20,77
4082,71,11
4083,31,41
4084,94,66
4085,97,15
4086,49,7
4087,21,48
4088,0,51
4089,97,92
4090,3,55
4091,81,64
4092,97,27
4093,2,72
4094,59,58
4095,5,56
4096,6,82
4097,77,97
4098,86,53
4099,24,83
4100,79,95
4101,1,29
4102,41,2
4103,9,52
4104,6,48
4105,59,75
4106,62,16
4107,79,46
4108,84,16
4109,21,2
4110,68,9
4111,95,5
4112,4,67
4113,94,6
4114,82,50
4115,29,47
4116,14,9
4117,60,21
4118,56,74
4119,47,8
4120,65,91
4121,55,91
4122,83,92
4123,67,86
4124,34,97
4125,95,55
4126,48,89
4127,13,77
4128,91,6
4129,50,88
4130,33,31
4131,48,37
4132,84,91
4133,63,40
4134,24,24
4135,24,47
4136,66,92
4137,40,5
4138,46,43
4139,54,36
4140,95,38
